Hypo_side,Length,Width,Points
10.56887279,13.21109099,2.642218198,336
11.62576007,14.53220009,2.906440018,402
12.68264735,15.85330919,3.170661838,477
13.73953463,17.17441829,3.434883658,558
14.79642191,18.49552739,3.699105478,661
15.85330919,19.81663649,3.963327298,736
16.91019647,21.13774559,4.227549117,853
17.96708375,22.45885469,4.491770937,961
19.02397103,23.77996379,4.755992757,1009
20.08085831,25.10107288,5.020214577,1171
21.13774559,26.42218198,5.284436397,1270
22.19463287,27.74329108,5.548658217,1400
23.25152015,29.06440018,5.812880036,1561
24.30840743,30.38550928,6.077101856,1705
25.3652947,31.70661838,6.341323676,1850
26.42218198,33.02772748,6.605545496,2007
27.47906926,34.34883658,6.869767316,2170
28.53595654,35.66994568,7.133989136,2333
29.59284382,36.99105478,7.398210956,2509
30.6497311,38.31216388,7.662432775,2691
31.70661838,39.63327298,7.926654595,2912
32.76350566,40.95438208,8.190876415,3067
33.82039294,42.27549117,8.455098235,3302
34.87728022,43.59660027,8.719320055,3511
35.9341675,44.91770937,8.983541875,3681
36.99105478,46.23881847,9.247763694,3985
38.04794206,47.55992757,9.511985514,4081
39.10482934,48.88103667,9.776207334,4312
40.16171662,50.20214577,10.04042915,4591
41.2186039,51.52325487,10.30465097,4785
42.27549117,52.84436397,10.56887279,5078
43.33237845,54.16547307,10.83309461,5336
44.38926573,55.48658217,11.09731643,5600
45.44615301,56.80769127,11.36153825,5860
46.50304029,58.12880036,11.62576007,6195
47.55992757,59.44990946,11.88998189,6468
48.61681485,60.77101856,12.15420371,6759
49.67370213,62.09212766,12.41842553,7056
50.73058941,63.41323676,12.68264735,7347
51.78747669,64.73434586,12.94686917,7657
52.84436397,66.05545496,13.21109099,7973
53.90125125,67.37656406,13.47531281,8350
54.95813853,68.69767316,13.73953463,8611
56.01502581,70.01878226,14.00375645,8947
57.07191309,71.33989136,14.26797827,9217
58.12880036,72.66100046,14.53220009,9491
59.18568764,73.98210956,14.79642191,9902
60.24257492,75.30321865,15.06064373,10261
61.2994622,76.62432775,15.32486555,10626
62.35634948,77.94543685,15.58908737,10983
63.41323676,79.26654595,15.85330919,11440
64.47012404,80.58765505,16.11753101,11810
65.52701132,81.90876415,16.38175283,12120
66.5838986,83.22987325,16.64597465,12600
67.64078588,84.55098235,16.91019647,12988
68.69767316,85.87209145,17.17441829,13399
69.75456044,87.19320055,17.43864011,13816
70.81144772,88.51430965,17.70286193,14311
71.868335,89.83541875,17.96708375,14652
72.92522228,91.15652784,18.23130557,15253
73.98210956,92.47763694,18.49552739,15605
75.03899683,93.79874604,18.75974921,15793
76.09588411,95.11985514,19.02397103,16417
77.15277139,96.44096424,19.28819285,16782
78.20965867,97.76207334,19.55241467,17248
79.26654595,99.08318244,19.81663649,17801
80.32343323,100.4042915,20.08085831,18281
81.38032051,101.7254006,20.34508013,18748
82.43720779,103.0465097,20.60930195,19241
83.49409507,104.3676188,20.87352377,19740
84.55098235,105.6887279,21.13774559,20225
85.60786963,107.009837,21.40196741,20844
86.66475691,108.3309461,21.66618923,21255
87.72164419,109.6520552,21.93041105,21868
88.77853147,110.9731643,22.19463287,22289
89.83541875,112.2942734,22.45885469,22916
90.89230603,113.6153825,22.72307651,23461
91.9491933,114.9364916,22.98729833,23897
93.00608058,116.2576007,23.25152015,24454
94.06296786,117.5787098,23.51574197,24899
95.11985514,118.8998189,23.77996379,25562
96.17674242,120.220928,24.04418561,26137
97.2336297,121.5420371,24.30840743,26718
98.29051698,122.8631462,24.57262925,27282
99.34740426,124.1842553,24.83685106,27876
100.4042915,125.5053644,25.10107288,28476
101.4611788,126.8264735,25.3652947,29058
102.5180661,128.1475826,25.62951652,29799
103.5749534,129.4686917,25.89373834,30394
104.6318407,130.7898008,26.15796016,31021
105.6887279,132.1109099,26.42218198,31654
106.7456152,133.432019,26.6864038,32267
107.8025025,134.7531281,26.95062562,32913
108.8593898,136.0742372,27.21484744,33565
109.9162771,137.3953463,27.47906926,34334
110.9731643,138.7164554,27.74329108,34861
112.0300516,140.0375645,28.0075129,35533
113.0869389,141.3586736,28.27173472,36069
114.1438262,142.6797827,28.53595654,36609
115.2007135,144.0008918,28.80017836,37556
116.2576007,145.3220009,29.06440018,38107
117.314488,146.64311,29.328622,38808
118.3713753,147.9642191,29.59284382,39487
119.4282626,149.2853282,29.85706564,40350
120.4851498,150.6064373,30.12128746,41042
121.5420371,151.9275464,30.38550928,41770
122.5989244,153.2486555,30.6497311,42504
123.6558117,154.5697646,30.91395292,43214
124.712699,155.8908737,31.17817474,43961
125.7695862,157.2119828,31.44239656,44714
126.8264735,158.5330919,31.70661838,45601
127.8833608,159.854201,31.9708402,46208
128.9402481,161.1753101,32.23506202,47271
129.9971354,162.4964192,32.49928384,47889
131.0540226,163.8175283,32.76350566,48217
132.1109099,165.1386374,33.02772748,49303
133.1677972,166.4597465,33.2919493,49934
134.2246845,167.7808556,33.55617112,50871
135.2815718,169.1019647,33.82039294,51681
136.338459,170.4230738,34.08461476,52497
137.3953463,171.7441829,34.34883658,53286
138.4522336,173.065292,34.6130584,54115
139.5091209,174.3864011,34.87728022,54950
140.5660082,175.7075102,35.14150204,55757
141.6228954,177.0286193,35.40572386,56782
142.6797827,178.3497284,35.66994568,57602
